Bib,Name,Country,Gender,Division,Division Rank,Overall Time,Overall Rank,Swim Time,Swim Rank,Bike Time,Bike Rank,Run Time,Run Rank,Finish Status
530,Seungki Lee,Korea,Male,M50-54,18,12:03:28,143,1:21:05,127,5:29:14,83,4:59:08,283,Finisher
428,Doojin Yoon,Korea,Male,M45-49,23,12:03:38,144,1:33:19,328,6:01:42,187,4:20:18,129,Finisher
657,Yunsun Lee,Korea,Female,F55-59,1,12:06:03,145,1:30:37,281,6:04:08,201,4:19:41,126,Finisher
32,Ilhwan Oh,Korea,Male,M50-54,19,12:06:34,146,1:20:11,117,5:33:29,95,5:02:28,298,Finisher
248,Junbum Cho,Korea,Male,M35-39,29,12:07:06,147,1:18:51,97,5:56:05,162,4:39:46,199,Finisher
626,Kyeong Yong Park,Korea,Male,M55-59,11,12:07:07,148,1:36:31,376,5:51:17,148,4:24:37,141,Finisher
134,Sangseok Hong,Korea,Male,M30-34,7,12:08:29,149,1:29:26,254,6:06:44,217,4:08:35,98,Finisher
157,정현 장,Korea,Male,M30-34,8,12:08:58,150,1:19:18,105,6:20:20,280,4:05:45,86,Finisher
381,Ui Jeong Jeong,Korea,Male,M45-49,24,12:09:12,151,1:31:07,290,5:31:22,87,4:53:10,254,Finisher
292,Byung-Soo Lee,Korea,Male,M40-44,32,12:09:54,152,1:21:00,123,5:07:13,27,5:33:30,382,Finisher
397,Changhee Lee,Korea,Male,M45-49,25,12:10:25,153,1:29:24,252,6:10:12,233,4:16:07,119,Finisher
486,Choi Changyong,Korea,Male,M50-54,20,12:12:06,154,1:21:15,129,6:05:38,212,4:27:05,152,Finisher
265,Kwang Soo Choi,Korea,Male,M40-44,33,12:12:41,155,1:17:26,83,6:07:14,222,4:37:32,182,Finisher
250,진구 한,Korea,Male,M35-39,30,12:13:33,156,1:35:00,352,5:11:17,36,5:14:51,339,Finisher
515,Dongwoo Kim,Korea,Male,M50-54,21,12:14:37,157,1:10:42,27,5:57:42,170,4:56:45,275,Finisher
325,Kwangnam Yoon,Korea,Male,M40-44,34,12:14:57,158,1:37:26,390,5:51:45,150,4:14:50,116,Finisher
703,Minsun Kim,Korea,Female,F60-64,1,12:15:01,159,1:36:02,371,6:01:50,188,4:24:53,142,Finisher
635,Jongcheol Sun,Korea,Male,M55-59,12,12:16:24,160,1:27:31,219,6:01:08,184,4:28:04,156,Finisher
297,Soohyun Lee,Korea,Male,M40-44,35,12:16:37,161,1:23:51,162,6:05:48,213,4:31:20,162,Finisher
425,Kenneth Amiel M. Taylor,Philippines,Male,M45-49,26,12:16:38,162,1:18:03,89,6:11:02,237,4:37:29,181,Finisher
355,Mariia Mezentseva,Unknown,Female,F40-44,2,12:16:48,163,1:37:29,393,6:40:53,366,3:44:30,34,Finisher
630,Seong Weon Seo,Korea,Male,M55-59,13,12:17:38,164,1:34:40,346,5:36:38,103,4:55:32,268,Finisher
142,Sang Hoon Lee,Korea,Male,M30-34,9,12:18:47,165,1:22:55,148,5:52:45,153,4:37:57,185,Finisher
293,Cheonseok Lee,Korea,Male,M40-44,36,12:20:36,166,1:18:49,95,5:17:19,53,5:34:51,387,Finisher
